 icont           0 x   0.0000000000000000      y   1.0000000000000000      exato   1.0000000000000000     
 icont           1 x  5.00000000000000028E-002 y   601295423.00000000      exato  0.99875078176434640     
 icont           2 x           0.10000000      y                       NaN exato  0.99501248253917152     
 icont           3 x           0.15000000      y                       NaN exato  0.98881305209392067     
 icont           4 x           0.20000000      y                       NaN exato  0.98019868649342146     
 icont           5 x           0.25000000      y                       NaN exato  0.96923325485001210     
 icont           6 x           0.30000000      y                       NaN exato  0.95599751077054407     
 icont           7 x           0.35000000      y                       NaN exato  0.94058810211655131     
 icont           8 x           0.40000000      y                       NaN exato  0.92311639606157470     
 icont           9 x           0.45000000      y                       NaN exato  0.90370713942115166     
 icont          10 x           0.50000000      y                       NaN exato  0.88249697678634109     
 icont          11 x           0.55000000      y                       NaN exato  0.85963285106048681     
 icont          12 x           0.60000000      y                       NaN exato  0.83527031254369810     
 icont          13 x           0.65000000      y                       NaN exato  0.80957176370631545     
 icont          14 x           0.70000000      y                       NaN exato  0.78270466723152088     
 icont          15 x           0.75000000      y                       NaN exato  0.75483974479227678     
 icont          16 x           0.80000000      y                       NaN exato  0.72614919337646722     
 icont          17 x           0.85000000      y                       NaN exato  0.69680494481668520     
 icont          18 x           0.90000000      y                       NaN exato  0.66697699255922382     
 icont          19 x           0.95000000      y                       NaN exato  0.63683180767216296     
 icont          20 x           1.00000000      y                       NaN exato  0.60653086370491616     
 icont          21 x           1.05000000      y                       NaN exato  0.57622928733747103     
 icont          22 x           1.10000000      y                       NaN exato  0.54607464886741519     
 icont          23 x           1.15000000      y                       NaN exato  0.51620590354950002     
 icont          24 x           1.20000000      y                       NaN exato  0.48675249169899276     
 icont          25 x           1.25000000      y                       NaN exato  0.45783360236765808     
 icont          26 x           1.30000000      y                       NaN exato  0.42955760236757973     
 icont          27 x           1.35000000      y                       NaN exato  0.40202162951566250     
 icont          28 x           1.40000000      y                       NaN exato  0.37531134625643114     
 icont          29 x           1.45000000      y                       NaN exato  0.34950084734086451     
 icont          30 x           1.50000000      y                       NaN exato  0.32465271303410281     
 icont          31 x           1.55000000      y                       NaN exato  0.30081819742552374     
 icont          32 x           1.60000000      y                       NaN exato  0.27803753984215579     
 icont          33 x           1.65000000      y                       NaN exato  0.25634038613265930     
 icont          34 x           1.70000000      y                       NaN exato  0.23574630569719540     
 icont          35 x           1.75000000      y                       NaN exato  0.21626538958301017     
 icont          36 x           1.80000000      y                       NaN exato  0.19789891473343063     
 icont          37 x           1.85000000      y                       NaN exato  0.18064005954938553     
 icont          38 x           1.90000000      y                       NaN exato  0.16447465627198951     
 icont          39 x           1.95000000      y                       NaN exato  0.14938196629205128     
 icont          40 x           2.00000000      y                       NaN exato  0.13533546530402737     
 icont          41 x           2.05000000      y                       NaN exato  0.12230362621213302     
 icont          42 x           2.10000000      y                       NaN exato  0.11025068882810218     
 icont          43 x           2.15000000      y                       NaN exato  9.91374066364402173E-002
 icont          44 x           2.20000000      y                       NaN exato  8.89217622078538744E-002
 icont          45 x           2.25000000      y                       NaN exato  7.95596441805149490E-002
 icont          46 x           2.30000000      y                       NaN exato  7.10054800700916922E-002
 icont          47 x           2.35000000      y                       NaN exato  6.32128204842905411E-002
 icont          48 x           2.40000000      y                       NaN exato  5.61348715807373014E-002
 icont          49 x           2.45000000      y                       NaN exato  4.97249737969741312E-002
 icont          50 x           2.50000000      y                       NaN exato  4.39370259806851765E-002
 icont          51 x           2.55000000      y                       NaN exato  3.87258550435509025E-002
 icont          52 x           2.60000000      y                       NaN exato  3.40475321438291623E-002
 icont          53 x           2.65000000      y                       NaN exato  2.98596371650716834E-002
 icont          54 x           2.70000000      y                       NaN exato  2.61214738989698249E-002
 icont          55 x           2.75000000      y                       NaN exato  2.27942388599577869E-002
 icont          56 x           2.80000000      y                       NaN exato  1.98411470614111712E-002
 icont          57 x           2.85000000      y                       NaN exato  1.72275183738924559E-002
 icont          58 x           2.90000000      y                       NaN exato  1.49208282726407283E-002
 icont          59 x           2.95000000      y                       NaN exato  1.28907268735587201E-002
 icont          60 x           3.00000000      y                       NaN exato  1.11090301645284193E-002
