Elemento,Isótopo,Z,A,Energia de Ligação (MeV),Energia/Nucleon (MeV/nuc),E_B/A (MeV/nucleon)
Boro,B-11,5,11,76.21,6.9278,6.928181818181818
Carbono,C-12,6,12,92.16,7.6802,7.68
Oxigênio,O-16,8,16,127.62,7.9763,7.97625
Cálcio,Ca-40,20,40,342.06,8.5514,8.5515
Manganês,Mn-55,25,55,482.08,8.7651,8.765090909090908
Ferro,Fe-56,26,56,492.26,8.7904,8.790357142857143
Zinco,Zn-64,30,64,559.1,8.736,8.7359375
Arsênio,As-75,33,75,652.57,8.7009,8.700933333333333
Prata,Ag-107,47,107,915.27,8.5539,8.55392523364486
Estanho,Sn-120,50,120,1020.56,8.5046,8.504666666666667
Iodo,I-127,53,127,1072.59,8.4456,8.445590551181102
Térbio,Tb-159,65,159,1302.04,8.1889,8.188930817610062
Irídio,Ir-193,77,193,1532.07,7.9382,7.938186528497409
Ouro,Au-197,79,197,1559.4,7.9157,7.915736040609137
Chumbo,Pb-208,82,208,1636.45,7.8675,7.867548076923077
Bismuto,Bi-209,83,209,1640.25,7.8481,7.848086124401914
Urânio,U-238,92,238,1801.71,7.5702,7.570210084033613
Plutônio,Pu-244,94,244,1836.08,7.5249,7.524918032786885
